certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
653/2011,,,"usd 5,873,009.65",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"materiais, equipamentos e serviços destinados à obras",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,22/11/2011 - 88ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2011.0,Construção Civil
663/2012,,,"usd 146,411.69",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,13/03/2012 - 92ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2012.0,Equipamentos
700/2012,,,"usd 150,862.04",nogueira indústria e comércio de implementos e máquinas agrícolas s.a.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,componentes para máquinas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/10/2012 - 99ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,agricolas comercio de e e implementos industria maquinas nogueira sa,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Equipamentos
704/2013,,,"usd 219,926.55",volvo do brasil veículos ltda.,construimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"escavadeiras, motoniveladoras e acessórios",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,14/02/2013 - 102ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,brasil do veiculos volvo,construimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Veículos
771/2015,,,"usd 599,726.96",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,08/07/2015 - 126ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2015.0,Agronegócio
791/2016,,,"usd 96,494.35",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,,,não,não,ana,não recebemos a documentação,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,,2016.0,Equipamentos
791/2016,,,"usd 66,114.22",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,,,não,não,ana,não recebemos a documentação,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,,2016.0,Equipamentos
411/2008,,,"usd 30,911.69",f.m. coempar comercial ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,,,,,coempar comercial fm,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
426/2008,,,"usd 69,370.78",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
535/2010,,,"usd 17,190.92",interunion comércio internacional ltda.,azuimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,hidrolizador de bagaço de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,31/03/2010 - 68ª ro,cofig/camex,,,,,,,comercio internacional interunion,azuimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
536/2010,,,"usd 20,308.39",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
585/2010,,,"usd 26,284.00",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/08/2010 - 73ª ro,cofig/camex,,,,,,,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
697/2012,,,"usd 35,325.22",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,estrutura de passarelas e escadas de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,12/12/2012 - 100ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
699/2012,,,"usd 23,233.92",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,,,,,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
740/2014,,,"usd 44,267.91",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,peças de reposição para equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2014 - 112ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2014.0,Agronegócio
747/2014,,,"usd 118,137.06",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
565/2010,2020-08-01,,"usd 27,082,921.83",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",banco nacional de desenvolvimento econômico e social - bndes,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,banco bndes de desenvolvimento e economico nacional social,2020.0,2010.0,Construção Civil
566/2010,2020-08-01,,"usd 18,719,464.26",construtora andrade gutierrez s.a.,"petróleos de venezuela, s.a (pdvsa)",banco nacional de desenvolvimento econômico e social - bndes,venezuela,"bens e serviços destinados à construção do estaleiro del alba (astialba), na península de araya, no estado sucre, na república bolivariana da venezuela.",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,de pdvsa petroleos sa venezuela,banco bndes de desenvolvimento e economico nacional social,2020.0,2010.0,Construção Civil
695/2012,2020-08-01,,"usd 14,917,557.28",embraer s.a.,conviasa - consorcio venezolano de indústrias aeronáuticas y servicios aéreos s.a.,banco nacional de desenvolvimento econômico e social - bndes,venezuela,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,à vista,30/01/2013 - 101ª ro,cofig/camex,,,,,,,embraer sa,aereos aeronauticas consorcio conviasa de industrias sa servicios venezolano y,banco bndes de desenvolvimento e economico nacional social,2020.0,2012.0,Aeronaves
565/2010,2020-08-01,,"usd 2,463,991.27",construtora andrade gutierrez s.a.,"república bolivariana da venezuela, por intermédio do ministério del poder popular de planificación empresa de producción social siderúrgica nacional, c.a.",construtora andrade gutierrez s.a.,venezuela,projeto de construção da usina siderúrgica nacional no estado do bolívar,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,01/07/10 - 71ª ro,cofig/camex,,,,,,,andrade construtora gutierrez sa,bolivariana ca da de de del do empresa intermedio ministerio nacional planificacion poder popular por produccion republica siderurgica social venezuela,andrade construtora gutierrez sa,2020.0,2010.0,Construção Civil
419/2008,,,"usd 78,024.86",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,,,,,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
426/2008,,,"usd 9,787.16",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
434/2008,,,"usd 53,444.81",thyssenkrupp elevadores s.a.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elevadores para a modernização de hotéis,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,05/12/2008 - 53ª ro,cofig/camex,,,,,,,elevadores sa thyssenkrupp,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Produtos
511/2009,,,"usd 26,500.19",fabrima máquinas automáticas ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,sistema de fabricação e acondicionamento de comprimidos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,10/11/2009 - 64ª ro,cofig/camex,,,,,,,automaticas fabrima maquinas,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
536/2010,,,"usd 165,113.89",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
555/2010,,,"usd 5,789,352.38",companhia de obras e infa-estrutura,zdim / almacenes universales s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços para a etapa ii das obras do porto de mariel,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,"semestral, ao longo do período de amortização",10/05/2010 - 70ª ro,cofig/camex,,,,,,,companhia de e infaestrutura obras,almacenes sa universales zdim,banco bndes de desenvolvimento e economico nacional social,,2010.0,Construção Civil
581/2010,,,"usd 32,383.18",armco staco s.a. - indústria metalúrgica,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,14/07/2010 - 72ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
585/2010,,,"usd 6,832.32",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/08/2010 - 73ª ro,cofig/camex,,,,,,,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
689/2012,,,"usd 5,270.51",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,06/09/2012 - 98ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
697/2012,,,"usd 74,856.62",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,estrutura de passarelas e escadas de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,12/12/2012 - 100ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
747/2014,,,"usd 218,112.42",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
630/2011,2020-12-06,,"usd 2,718,170.59",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
758/2014,2020-05-03,,"usd 15,542.10",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,,,,,,,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2020.0,2014.0,Equipamentos
758/2014,,,"usd 8,849.93",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,,,,,,,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,,2014.0,Equipamentos
630/2011,2020-12-06,,"usd 445,842.33",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
802/2017,,,"usd 38,071.29",xcmg brasil indústria ltda.,iron group s.a.,banco do brasil s.a. (proex),argentina,escavadeiras xcmg modelo xe215br,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,17/04/2017,sain/mf,,,,,,,brasil industria xcmg,group iron sa,banco brasil do proex sa,,2017.0,Veículos
815/2018,,,"usd 21,646.71",xcmg brasil indústria ltda.,iron group s.a.,banco do brasil s.a. (proex),argentina,retroescavadeiras xcmg,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/03/2018,sain/mf,,,,,,,brasil industria xcmg,group iron sa,banco brasil do proex sa,,2018.0,Veículos
815/2018,2019-01-12,,"usd 5,394.96",xcmg brasil indústria ltda.,iron group s.a.,banco do brasil s.a. (proex),argentina,retroescavadeiras xcmg,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/03/2018,sain/mf,,,,,,,brasil industria xcmg,group iron sa,banco brasil do proex sa,2019.0,2018.0,Veículos
419/2008,,,"usd 32,186.50",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,,,,,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
426/2008,,,"usd 161,373.55",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
472/2009,,,"usd 17,515.05",basim máquinas ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquina lavadora externa,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,27/03/2009 - 56ª ro,cofig/camex,,,,,,,basim maquinas,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
523/2010,,,"usd 69,991.81",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
524/2010,,,"usd 44,480.09",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
525/2010,,,"usd 46,425.63",ipacol máquinas agrícolas ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,distribuidoras de fertilizantes e vagões,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,,,,,agricolas ipacol maquinas,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
536/2010,,,"usd 44,888.11",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
539/2010,,,"usd 5,892.00",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras e tratores, suas peças de reposição e ferramentas",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,04/03/2010 - 67ª ro,cofig/camex,,,,,,,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
546/2010,,,"usd 102,530.50",jcb do brasil ltda.,construimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,retroescavadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2010 - 66ª ro,cofig/camex,,,,,,,brasil do jcb,construimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Veículos
581/2010,,,"usd 63,089.07",armco staco s.a. - indústria metalúrgica,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,14/07/2010 - 72ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
582/2010,,,"usd 52,539.29",industrial pagé ltda.,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas para secagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,27/10/2010 - 75ª ro,cofig/camex,,,,,,,industrial page,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
699/2012,,,"usd 101,114.04",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,,,,,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
719/2013,,,"usd 652,221.43",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2013 - 106ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Agronegócio
747/2014,,,"usd 339,155.21",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
630/2011,2020-12-06,,"usd 442,242.16",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
758/2014,2020-01-05,,"usd 3,840.83",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,,,,,,,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2020.0,2014.0,Equipamentos
758/2014,2020-01-05,,"usd 5,043.38",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,,,,,,,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2020.0,2014.0,Equipamentos
758/2014,2020-01-05,,"usd 11,333.89",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,,,,,,,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2020.0,2014.0,Equipamentos
758/2014,2020-09-05,,"usd 22,651.12",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,,,,,,,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2020.0,2014.0,Equipamentos
791/2016,2020-01-05,,"usd 56,816.48",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,,,,,,,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,2020.0,2016.0,Equipamentos
