Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
585/2010,15/11/2022,09/02/2023,"USD 7,165.22",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,,,,
689/2012,15/11/2022,09/02/2023,"USD 69,485.23",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
719/2013,15/11/2022,09/02/2023,"USD 243,523.13",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2013 - 106ª RO,Cofig/Camex,,,,,,
815/2018,05/11/2022,09/02/2023,"USD 24,896.52",XCMG Brasil Indústria Ltda.,Iron Group S.A.,Banco do Brasil S.A. (PROEX),Argentina,Retroescavadeiras XCMG,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,15/03/2018,SAIN/MF,,,,,,
602/2010,27/11/2020,27/02/2023,"USD 7,501,914.72",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,10 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
537/2010,15/12/2022,09/03/2023,"USD 81,673.22",F.M. Coempar Comercial Ltda.,Empresa Importadora General Del Transporte E.I.G.T.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equpamentos destinados ao transporte de grãos refrigerados (Projeto Arroz),Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
582/2010,15/12/2022,09/03/2023,"USD 51,032.85",Industrial Pagé Ltda.,Citricos Caribe S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas para secagem de arroz,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,27/10/2010 - 75ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,09/03/2023,"USD 500,100.44",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
662/2012,15/12/2022,09/03/2023,"USD 15,903.12",BRN Internacional Indústria e Comércio Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Sonda oblíqua e kit peças de reposição, ambos destinados ao projeto de açúcar",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,28/03/2012 - 92ª RO,Cofig/Camex,,,,,,
689/2012,15/12/2022,09/03/2023,"USD 107,490.67",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
708/2013,15/12/2022,09/03/2023,"USD 7,434,362.49",Companhia de Obras e Infraestrutura., Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Obras de ampliação e modernização do Porto de Mariel e de sua infraestrutura de acesso, na República de Cuba.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,17/06/2013,Cofig/Camex,,,,,,
747/2014,15/12/2022,09/03/2023,"USD 130,957.28",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
771/2015,15/12/2022,09/03/2023,"USD 132,133.81",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
812/2018,30/11/2022,15/03/2023,"USD 89,228.11",John Bean Technologies Máquinas e Equipamentos Industriais LTDA.,Mudad Francisco Esteban,Banco do Brasil S.A. (PROEX),Argentina,Extrator e recuperador de óleo essencial de cítricos.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,Verificar,SAIN/MF,,,,,,
404/2008,15/01/2023,06/04/2023,"USD 1,686,802.78",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,,,,
585/2010,15/01/2023,06/04/2023,"USD 36,532.22",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,,,,
653/2011,15/01/2023,06/04/2023,"USD 5,432,868.70",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,,,,
663/2012,15/01/2023,06/04/2023,"USD 134,461.97",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,13/03/2012 - 92ª RO,Cofig/Camex,,,,,,
700/2012,15/01/2023,06/04/2023,"USD 135,713.43",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,,,,
704/2013,15/01/2023,06/04/2023,"USD 197,898.90",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,,,,
771/2015,15/01/2023,06/04/2023,"USD 551,258.50",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,14/04/2023,"USD 503,971.46",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,08/05/2023,"USD 1,917,524.14",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
697/2012,15/02/2023,08/05/2023,"USD 31,919.76",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
699/2012,15/02/2023,08/05/2023,"USD 20,996.19",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
740/2014,15/02/2023,08/05/2023,"USD 40,055.93",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Peças de reposição para equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2014 - 112ª RO,Cofig/Camex,,,,,,
747/2014,15/02/2023,08/05/2023,"USD 106,865.30",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,25/05/2023,"USD 6,692,695.35",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,10 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
565/2010,20/12/2022,01/06/2023,"USD 24,009,560.08",Construtora Andrade Gutierrez S.A.,"Empresa de Producción Social Siderúrgica Nacional, C.A.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
566/2010,03/09/2022,01/06/2023,"USD 17,069,634.51",Construtora Andrade Gutierrez S.A.,"Petróleos de Venezuela, S.A (PDVSA)",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,"Bens e serviços destinados à construção do Estaleiro Del Alba (Astialba), na Península de Araya, no Estado Sucre, na República Bolivariana da Venezuela.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
695/2012,09/09/2022,01/06/2023,"USD 13,788,729.64",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,,,,,,
555/2010,15/03/2023,06/06/2023,"USD 5,321,823.46",Companhia de Obras e Infa-Estrutura,ZDIM / Almacenes Universales S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços para a etapa II das obras do Porto de Mariel,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,"Semestral, ao longo do período de amortização",10/05/2010 - 70ª RO,Cofig/Camex,,,,,,
565/2010,20/12/2022,06/06/2023,"USD 2,184,378.29",Construtora Andrade Gutierrez S.A.,"Empresa de Producción Social Siderúrgica Nacional, C.A.",Construtora Andrade Gutierrez S.A.,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,06/06/2023,"USD 502,456.62",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
689/2012,15/03/2023,06/06/2023,"USD 4,735.52",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
697/2012,15/03/2023,06/06/2023,"USD 67,580.47",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
747/2014,15/03/2023,06/06/2023,"USD 200,347.84",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
419/2008,15/04/2023,11/07/2023,"USD 26,120.08",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,,,,
539/2010,15/04/2023,11/07/2023,"USD 5,394.66",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras e tratores, suas peças de reposição e ferramentas",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,,,,
699/2012,15/04/2023,11/07/2023,"USD 91,195.43",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,,,,
719/2013,15/04/2023,11/07/2023,"USD 588,143.15",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2013 - 106ª RO,Cofig/Camex,,,,,,
747/2014,15/04/2023,11/07/2023,"USD 310,467.80",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,18/07/2023,"USD 508,314.84",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,31/07/2023,"USD 517,829.37",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,10 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
512/2009,15/05/2023,07/08/2023,"USD 3,766,627.54",Companhia de Obras e Infraestrutura.,ZDIM / Almacenes Universales S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Obras de ampliação e modernização do porto de Mariel,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,29/01/2010 - 66ª RO,Cofig/Camex,,,,,,
539/2010,15/05/2023,07/08/2023,"USD 43,053.72",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras e tratores, suas peças de reposição e ferramentas",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,04/03/2010 - 67ª RO,Cofig/Camex,,,,,,
689/2012,15/05/2023,07/08/2023,"USD 68,416.69",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
719/2013,15/05/2023,07/08/2023,"USD 239,204.08",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2013 - 106ª RO,Cofig/Camex,,,,,,
815/2018,04/05/2023,11/08/2023,"USD 24,538.69",XCMG Brasil Indústria Ltda.,Iron Group S.A.,Banco do Brasil S.A. (PROEX),Argentina,Retroescavadeiras XCMG,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,15/03/2018,SAIN/MF,,,,,,
630/2011,12/06/2020,11/08/2023,"USD 1.937.132,31",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,29/08/2023,"USD 8.012,80",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,10 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
602/2010,27/11/2020,29/08/2023,"USD 5.905.674,54",Embraer S.A,"BrasilMex Leasing, LLC",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,México,11 aeronaves modelo EMB 190LR,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",À vista,30/11/2010 - 76ª RO,Cofig/Camex,,,,,,
662/2012,15/06/2023,05/09/2023,"USD 15.660,32",BRN Internacional Indústria e Comércio Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Sonda oblíqua e kit peças de reposição, ambos destinados ao projeto de açúcar",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,28/03/2012 - 92ª RO,Cofig/Camex,,,,,,
689/2012,15/06/2023,05/09/2023,"USD 105.804,38",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,06/09/2012 - 98ª RO,Cofig/Camex,,,,,,
708/2013,15/06/2023,05/09/2023,"USD 7.311.611,27",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Obras de ampliação e modernização do Porto de Mariel e de sua infraestrutura de acesso, na República de Cuba.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,17/06/2013,Cofig/Camex,,,,,,
747/2014,15/06/2023,05/09/2023,"USD 128.722,66",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,30/04/2014 - 114ª RO,Cofig/Camex,,,,,,
771/2015,15/06/2023,05/09/2023,"USD 130.022,45",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,,,,
630/2011,12/06/2020,14/09/2023,"USD 503.469,50",Embraer S.A.,Flybe Leasing Cayman 1 Limited,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Reino Unido,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),"Riscos comerciais, políticos e extraordinários",Financiado,26/05/2011 - 82ª RO,Cofig/Camex,,,,,,
695/2012,09/03/2023,29/09/2023,"USD 12.820.600,73",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,,,,,,
566/2010,03/03/3023,29/09/2023,"USD 16.635.632,53",Construtora Andrade Gutierrez S.A.,"Petróleos de Venezuela, S.A (PDVSA)",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,"Bens e serviços destinados à construção do Estaleiro Del Alba (Astialba), na Península de Araya, no Estado Sucre, na República Bolivariana da Venezuela.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,,,,,,
404/2008,15/07/2023,09/10/2023,"USD 1.642.448,16",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,,,,
653/2011,15/07/2023,09/10/2023,"USD 5.324.826,82",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,,,,
